headshots,shots_hit,shots_missed,shots_fired,crosshair_placement,spray_control,accuracy
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
0.0,0.0,0.0,1.0,1.5427747900772695e-21,0.0,1.398358419063574e-21
